fold,seed,layer,acc,epoch
4,39,7,0.91,64
4,39,8,0.915,64
4,39,9,0.9125,74
4,39,10,0.915,65
4,39,11,0.92,78
4,40,0,0.4,73
4,40,1,0.7275,55
4,40,2,0.8125,40
4,40,3,0.8475,74
4,40,4,0.89,75
4,40,5,0.9,51
4,40,6,0.9075,51
4,40,7,0.9175,80
4,40,8,0.915,82
4,40,9,0.925,83
4,40,10,0.9225,65
4,40,11,0.9225,63
4,41,0,0.39,86
4,41,1,0.7175,57
4,41,2,0.815,44
4,41,3,0.845,58
4,41,4,0.8725,47
4,41,5,0.91,54
4,41,6,0.9125,88
4,41,7,0.9175,95
4,41,8,0.92,85
4,41,9,0.92,54
4,41,10,0.925,92
4,41,11,0.9325,54
4,42,0,0.41,76
4,42,1,0.72,86
4,42,2,0.8075,56
4,42,3,0.845,58
4,42,4,0.9025,84
4,42,5,0.9275,84
4,42,6,0.93,89
4,42,7,0.93,68
4,42,8,0.9275,68
4,42,9,0.9325,68
4,42,10,0.9325,68
4,42,11,0.9325,68
4,43,0,0.3925,73
4,43,1,0.7125,67
4,43,2,0.8175,75
4,43,3,0.8425,43
4,43,4,0.885,50
4,43,5,0.9025,50
4,43,6,0.9125,80
4,43,7,0.91,68
4,43,8,0.9225,84
4,43,9,0.925,85
4,43,10,0.9275,84
4,43,11,0.93,84
4,44,0,0.3975,80
4,44,1,0.74,88
4,44,2,0.8,58
4,44,3,0.8325,61
4,44,4,0.8725,29
4,44,5,0.9075,29
4,44,6,0.92,79
4,44,7,0.925,79
4,44,8,0.9275,79
4,44,9,0.93,69
4,44,10,0.9275,71
4,44,11,0.9325,69
4,45,0,0.405,89
4,45,1,0.755,76
4,45,2,0.8125,55
4,45,3,0.8475,70
4,45,4,0.885,78
4,45,5,0.9125,83
4,45,6,0.9275,80
4,45,7,0.93,70
4,45,8,0.9375,79
4,45,9,0.94,74
4,45,10,0.9375,74
4,45,11,0.9375,74
4,46,0,0.4125,75
4,46,1,0.715,66
4,46,2,0.805,55
4,46,3,0.8475,86
4,46,4,0.8775,92
4,46,5,0.8975,96
4,46,6,0.9175,89
4,46,7,0.925,89
4,46,8,0.93,91
4,46,9,0.92,65
4,46,10,0.925,85
4,46,11,0.92,85
4,47,0,0.4175,81
4,47,1,0.735,79
4,47,2,0.825,59
4,47,3,0.8625,79
4,47,4,0.8925,91
4,47,5,0.9075,63
4,47,6,0.9225,71
4,47,7,0.93,71
4,47,8,0.9275,71
4,47,9,0.925,78
4,47,10,0.925,63
4,47,11,0.9275,47
4,48,0,0.4,76
4,48,1,0.7425,83
4,48,2,0.835,71
4,48,3,0.8525,58
4,48,4,0.89,76
4,48,5,0.9125,71
4,48,6,0.93,71
4,48,7,0.935,71
4,48,8,0.9325,71
4,48,9,0.935,71
4,48,10,0.9325,71
4,48,11,0.9325,83
4,49,0,0.4075,69
4,49,1,0.77,73
4,49,2,0.825,63
4,49,3,0.8575,97
4,49,4,0.9025,89
4,49,5,0.92,74
4,49,6,0.935,77
4,49,7,0.9375,71
4,49,8,0.9325,71
4,49,9,0.935,75
4,49,10,0.935,76
4,49,11,0.94,73
4,50,0,0.4175,93
4,50,1,0.72,50
4,50,2,0.81,76
4,50,3,0.855,78
4,50,4,0.89,77
4,50,5,0.91,61
4,50,6,0.925,61
4,50,7,0.93,85
4,50,8,0.9325,83
4,50,9,0.9325,82
4,50,10,0.935,78
4,50,11,0.935,78
4,51,0,0.4325,83
4,51,1,0.7125,63
4,51,2,0.805,49
4,51,3,0.8375,70
4,51,4,0.8675,58
4,51,5,0.8925,75
4,51,6,0.905,75
4,51,7,0.9125,72
4,51,8,0.9125,71
4,51,9,0.9125,71
4,51,10,0.915,72
4,51,11,0.925,72
4,52,0,0.3925,84
4,52,1,0.7125,52
4,52,2,0.81,55
4,52,3,0.835,23
4,52,4,0.8725,47
4,52,5,0.9,67
4,52,6,0.915,67
4,52,7,0.9225,85
4,52,8,0.9275,90
4,52,9,0.93,83
4,52,10,0.935,85
4,52,11,0.9425,88
4,53,0,0.395,59
4,53,1,0.7125,59
4,53,2,0.825,55
4,53,3,0.855,49
4,53,4,0.895,83
4,53,5,0.9225,83
4,53,6,0.9175,83
4,53,7,0.925,53
4,53,8,0.9325,86
4,53,9,0.9325,84
4,53,10,0.9325,87
4,53,11,0.9275,88
4,54,0,0.3975,71
4,54,1,0.7425,84
4,54,2,0.805,71
4,54,3,0.835,48
4,54,4,0.8825,92
4,54,5,0.9075,68
4,54,6,0.92,84
4,54,7,0.9225,70
4,54,8,0.92,84
4,54,9,0.9225,81
4,54,10,0.925,81
4,54,11,0.93,92
4,55,0,0.4325,79
4,55,1,0.73,80
4,55,2,0.8275,71
4,55,3,0.865,79
4,55,4,0.895,80
4,55,5,0.92,77
4,55,6,0.9275,78
4,55,7,0.935,89
4,55,8,0.94,89
4,55,9,0.94,76
4,55,10,0.9375,74
4,55,11,0.94,89
4,56,0,0.3975,93
4,56,1,0.7525,73
4,56,2,0.84,94
4,56,3,0.855,83
4,56,4,0.89,54
4,56,5,0.91,54
4,56,6,0.9175,80
4,56,7,0.93,80
4,56,8,0.935,81
4,56,9,0.93,80
4,56,10,0.935,81
4,56,11,0.9375,81
4,57,0,0.41,94
4,57,1,0.7275,81
4,57,2,0.81,78
4,57,3,0.845,65
4,57,4,0.8775,86
4,57,5,0.91,65
4,57,6,0.9175,65
4,57,7,0.9175,65
4,57,8,0.9225,82
4,57,9,0.9225,86
4,57,10,0.9275,85
4,57,11,0.9275,96
4,58,0,0.41,73
4,58,1,0.735,63
4,58,2,0.8075,45
4,58,3,0.8575,54
4,58,4,0.8925,59
4,58,5,0.915,81
4,58,6,0.9225,84
4,58,7,0.93,78
4,58,8,0.935,85
4,58,9,0.93,71
4,58,10,0.935,80
4,58,11,0.9375,71
4,59,0,0.3925,88
4,59,1,0.765,64
4,59,2,0.8375,70
4,59,3,0.8625,73
4,59,4,0.9,80
4,59,5,0.925,90
4,59,6,0.9275,84
4,59,7,0.9375,89
4,59,8,0.9375,81
4,59,9,0.9425,81
4,59,10,0.9425,81
4,59,11,0.9375,76
4,60,0,0.3875,76
4,60,1,0.7375,72
4,60,2,0.8175,36
4,60,3,0.855,39
4,60,4,0.8925,71
4,60,5,0.915,61
4,60,6,0.9325,78
4,60,7,0.9325,77
4,60,8,0.9275,70
4,60,9,0.93,61
4,60,10,0.935,61
4,60,11,0.935,94
4,61,0,0.4,90
4,61,1,0.705,49
4,61,2,0.815,87
4,61,3,0.8425,74
4,61,4,0.885,73
4,61,5,0.9025,80
4,61,6,0.9125,93
4,61,7,0.9175,79
4,61,8,0.925,85
4,61,9,0.925,79
4,61,10,0.925,79
4,61,11,0.935,97
4,62,0,0.39,83
4,62,1,0.7575,85
4,62,2,0.825,95
4,62,3,0.8475,80
